number_of_dialog,start_time,end_time,dialog
421,"00:30:19,698","00:30:21,764","while we discuss business, you could provide"
422,"00:30:21,765","00:30:23,656",one of your loveliest black creatures
423,"00:30:23,658","00:30:26,097",to escort Django here around your magnificent grounds.
424,"00:30:26,117","00:30:27,470","Oh, well, absolutely."
425,"00:30:27,960","00:30:28,606",Betina.
426,"00:30:28,673","00:30:29,626","Yessir, Big Daddy?"
427,"00:30:30,496","00:30:31,861",What's your Jimmie's name again?
428,"00:30:32,415","00:30:33,917",Django. Django.
429,"00:30:34,083","00:30:35,020","Betina sugar,"
430,"00:30:35,260","00:30:36,599",could you take Django there
431,"00:30:36,601","00:30:39,513",and take him around the grounds here and show him all the pretty stuff.
432,"00:30:39,962","00:30:41,255","As you please, Big Daddy."
433,"00:30:41,257","00:30:42,238","Oh, Mr. Bennett,"
434,"00:30:42,848","00:30:43,978","I must remind you,"
435,"00:30:44,144","00:30:45,343",Django is a free man.
436,"00:30:45,345","00:30:47,147",He cannot be treated like a slave.
437,"00:30:47,148","00:30:49,033","He... within the bounds of good taste,"
438,"00:30:49,035","00:30:51,219",he must be treated as an extension of myself.
439,"00:30:51,712","00:30:52,881","Understood, Schultz."
440,"00:30:52,882","00:30:54,521","Betina, sugar? Yes'm?"
441,"00:30:54,687","00:30:56,687",Django isn't a slave.
442,"00:30:57,297","00:30:59,317","Django is a free man, you understand?"
443,"00:31:00,714","00:31:03,125","You can't treat him like any of the other niggers around here,"
444,"00:31:03,127","00:31:05,245",because he ain't like any of the other niggers around here.
445,"00:31:05,246","00:31:06,047",You got it?
446,"00:31:06,407","00:31:08,727",You want I should treat him like white folks?
447,"00:31:09,264","00:31:09,815",No.
448,"00:31:11,061","00:31:12,247",That's not what I said.
449,"00:31:12,512","00:31:14,401","Then I don't know what you want, Big Daddy."
450,"00:31:15,458","00:31:16,105","Yes,"
451,"00:31:16,800","00:31:17,850",I can see that.
452,"00:31:20,581","00:31:22,167",What's the name of that peckerwood boy
453,"00:31:22,270","00:31:24,066",from town that works with the glass?
454,"00:31:24,984","00:31:26,719",His mama work over at the lumberyard.
455,"00:31:27,142","00:31:28,279","Oh, you mean Jerry."
456,"00:31:28,280","00:31:29,894",That's the boy's name. Jerry!
457,"00:31:30,074","00:31:31,472","You know Jerry, don't you, sugar?"
